split,class,path,width,height,mode
training,Bedroom,dataset\training\Bedroom\image_0069.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0071.jpg,328,220,L
training,Bedroom,dataset\training\Bedroom\image_0073.jpg,326,220,L
training,Bedroom,dataset\training\Bedroom\image_0074.jpg,340,220,L
training,Bedroom,dataset\training\Bedroom\image_0077.jpg,240,200,L
training,Bedroom,dataset\training\Bedroom\image_0080.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0081.jpg,312,220,L
training,Bedroom,dataset\training\Bedroom\image_0082.jpg,354,220,L
training,Bedroom,dataset\training\Bedroom\image_0084.jpg,311,220,L
training,Bedroom,dataset\training\Bedroom\image_0086.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0087.jpg,220,331,L
training,Bedroom,dataset\training\Bedroom\image_0088.jpg,220,292,L
training,Bedroom,dataset\training\Bedroom\image_0090.jpg,315,220,L
training,Bedroom,dataset\training\Bedroom\image_0092.jpg,336,219,L
training,Bedroom,dataset\training\Bedroom\image_0093.jpg,293,219,L
training,Bedroom,dataset\training\Bedroom\image_0095.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0096.jpg,267,200,L
training,Bedroom,dataset\training\Bedroom\image_0097.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0098.jpg,265,220,L
training,Bedroom,dataset\training\Bedroom\image_0103.jpg,292,220,L
training,Bedroom,dataset\training\Bedroom\image_0104.jpg,276,219,L
training,Bedroom,dataset\training\Bedroom\image_0112.jpg,390,220,L
training,Bedroom,dataset\training\Bedroom\image_0113.jpg,292,220,L
training,Bedroom,dataset\training\Bedroom\image_0114.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0115.jpg,261,220,L
training,Bedroom,dataset\training\Bedroom\image_0117.jpg,220,323,L
training,Bedroom,dataset\training\Bedroom\image_0118.jpg,330,219,L
training,Bedroom,dataset\training\Bedroom\image_0119.jpg,330,220,L
training,Bedroom,dataset\training\Bedroom\image_0120.jpg,339,220,L
training,Bedroom,dataset\training\Bedroom\image_0121.jpg,299,220,L
training,Bedroom,dataset\training\Bedroom\image_0122.jpg,293,219,L
training,Bedroom,dataset\training\Bedroom\image_0124.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0128.jpg,335,220,L
training,Bedroom,dataset\training\Bedroom\image_0130.jpg,385,220,L
training,Bedroom,dataset\training\Bedroom\image_0131.jpg,332,220,L
training,Bedroom,dataset\training\Bedroom\image_0134.jpg,330,220,L
training,Bedroom,dataset\training\Bedroom\image_0135.jpg,331,219,L
training,Bedroom,dataset\training\Bedroom\image_0138.jpg,220,321,L
training,Bedroom,dataset\training\Bedroom\image_0140.jpg,330,220,L
training,Bedroom,dataset\training\Bedroom\image_0141.jpg,293,219,L
training,Bedroom,dataset\training\Bedroom\image_0142.jpg,274,220,L
training,Bedroom,dataset\training\Bedroom\image_0144.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0148.jpg,299,220,L
training,Bedroom,dataset\training\Bedroom\image_0150.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0152.jpg,307,219,L
training,Bedroom,dataset\training\Bedroom\image_0153.jpg,332,220,L
training,Bedroom,dataset\training\Bedroom\image_0156.jpg,288,220,L
training,Bedroom,dataset\training\Bedroom\image_0157.jpg,264,220,L
training,Bedroom,dataset\training\Bedroom\image_0158.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0160.jpg,323,220,L
training,Bedroom,dataset\training\Bedroom\image_0161.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0162.jpg,330,220,L
training,Bedroom,dataset\training\Bedroom\image_0163.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0166.jpg,293,219,L
training,Bedroom,dataset\training\Bedroom\image_0168.jpg,328,219,L
training,Bedroom,dataset\training\Bedroom\image_0170.jpg,270,220,L
training,Bedroom,dataset\training\Bedroom\image_0175.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0176.jpg,220,293,L
training,Bedroom,dataset\training\Bedroom\image_0180.jpg,227,219,L
training,Bedroom,dataset\training\Bedroom\image_0182.jpg,292,220,L
training,Bedroom,dataset\training\Bedroom\image_0189.jpg,220,311,L
training,Bedroom,dataset\training\Bedroom\image_0190.jpg,295,220,L
training,Bedroom,dataset\training\Bedroom\image_0191.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0192.jpg,266,220,L
training,Bedroom,dataset\training\Bedroom\image_0195.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0196.jpg,295,220,L
training,Bedroom,dataset\training\Bedroom\image_0200.jpg,266,220,L
training,Bedroom,dataset\training\Bedroom\image_0202.jpg,316,220,L
training,Bedroom,dataset\training\Bedroom\image_0203.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0205.jpg,330,220,L
training,Bedroom,dataset\training\Bedroom\image_0206.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0207.jpg,293,220,L
training,Bedroom,dataset\training\Bedroom\image_0208.jpg,334,220,L
training,Bedroom,dataset\training\Bedroom\image_0209.jpg,320,220,L
training,Bedroom,dataset\training\Bedroom\image_0215.jpg,292,220,L
training,Coast,dataset\training\Coast\image_0001.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0002.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0003.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0004.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0005.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0007.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0008.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0009.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0011.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0012.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0013.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0014.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0016.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0017.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0018.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0019.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0020.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0021.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0023.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0024.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0025.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0026.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0027.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0029.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0030.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0031.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0033.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0035.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0036.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0037.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0039.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0040.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0041.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0042.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0044.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0045.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0046.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0047.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0049.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0050.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0051.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0054.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0055.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0056.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0057.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0058.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0059.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0060.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0061.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0062.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0063.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0064.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0067.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0068.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0070.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0071.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0072.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0073.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0074.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0075.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0076.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0077.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0078.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0079.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0081.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0083.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0084.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0085.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0086.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0087.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0088.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0089.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0090.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0092.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0093.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0094.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0095.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0096.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0097.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0099.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0101.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0103.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0104.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0105.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0106.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0107.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0110.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0112.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0113.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0114.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0115.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0118.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0119.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0121.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0122.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0124.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0126.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0128.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0129.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0130.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0131.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0133.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0134.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0135.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0136.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0137.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0138.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0139.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0140.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0141.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0142.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0144.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0145.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0149.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0150.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0151.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0152.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0153.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0154.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0155.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0157.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0158.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0160.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0161.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0162.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0163.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0164.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0165.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0166.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0167.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0168.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0169.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0170.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0171.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0172.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0173.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0174.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0175.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0176.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0177.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0179.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0180.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0181.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0182.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0184.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0186.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0188.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0191.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0192.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0194.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0195.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0196.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0197.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0201.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0202.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0204.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0205.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0206.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0207.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0210.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0211.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0213.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0214.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0215.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0216.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0217.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0218.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0219.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0220.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0222.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0223.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0225.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0226.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0227.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0229.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0230.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0232.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0233.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0234.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0237.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0240.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0243.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0244.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0245.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0246.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0247.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0252.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0253.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0254.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0255.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0256.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0257.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0259.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0260.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0263.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0264.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0265.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0266.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0268.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0270.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0272.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0277.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0278.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0279.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0280.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0282.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0285.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0288.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0289.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0291.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0292.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0293.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0295.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0296.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0297.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0299.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0300.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0301.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0302.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0303.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0304.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0305.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0306.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0308.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0309.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0312.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0313.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0314.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0315.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0316.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0318.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0319.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0321.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0322.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0323.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0324.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0325.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0327.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0328.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0329.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0330.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0331.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0332.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0335.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0337.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0338.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0339.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0341.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0344.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0346.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0347.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0348.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0349.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0350.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0351.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0352.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0356.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0357.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0359.jpg,256,256,L
training,Coast,dataset\training\Coast\image_0360.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0001.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0002.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0005.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0007.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0008.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0009.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0010.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0011.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0012.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0013.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0014.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0017.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0018.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0019.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0021.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0022.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0023.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0024.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0025.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0026.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0027.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0029.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0030.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0032.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0033.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0035.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0036.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0037.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0038.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0040.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0041.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0043.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0044.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0046.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0047.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0048.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0051.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0053.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0056.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0057.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0058.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0059.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0060.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0062.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0064.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0065.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0066.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0068.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0069.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0070.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0073.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0076.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0077.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0078.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0079.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0080.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0081.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0082.jpg,256,256,L
training,Forest,dataset\training\Forest\image_0083.jpg,256,256,L
